feature_id	location	type	function	aliases	protein_md5
fig|1596.469.peg.1	LG_612_Assembly_contig_1_1549-1548	CDS	Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1		af082ede69306f50e6fbc0c81602a09f
fig|1596.469.peg.2	LG_612_Assembly_contig_1_1713+117	CDS	FIG00751146: hypothetical protein		433facc8cc4b80d1f967ca3b44bb6e54
fig|1596.469.peg.3	LG_612_Assembly_contig_1_2039+819	CDS	weak similarity to aminoglycoside N(3)-acetyltransferase		d221dee7f0302f4655ffb6fe838e00b8
fig|1596.469.peg.4	LG_612_Assembly_contig_1_3812-891	CDS	Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)		c7dd8a7ff067147a97c1ff3778fc3d44
fig|1596.469.peg.5	LG_612_Assembly_contig_1_4234-396	CDS	D-ribose pyranase (EC 5.4.99.62)		7bfab635052dcef8ce8add6943812486
fig|1596.469.peg.6	LG_612_Assembly_contig_1_4792-450	CDS	hypothetical protein		d52d4948cb1663c974e20e7910dd9bb2
fig|1596.469.peg.7	LG_612_Assembly_contig_1_5559-702	CDS	Uridine phosphorylase (EC 2.4.2.3)		2793c202bbf7775e990d0ee018ece3eb
fig|1596.469.peg.8	LG_612_Assembly_contig_1_6174-489	CDS	Histone acetyltransferase HPA2 and related acetyltransferases		74b4a24ea7e7fff337054d91ce6cfe1a
fig|1596.469.peg.9	LG_612_Assembly_contig_1_6710-534	CDS	Ribosomal-protein-L7p-serine acetyltransferase		e5d108e4ebdd77b2a4f2933e2c90ff80
fig|1596.469.peg.10	LG_612_Assembly_contig_1_7043+276	CDS	DNA-damage-inducible protein J		e0e8c1471f1423c1f4144b5db3a9e8a0
fig|1596.469.peg.11	LG_612_Assembly_contig_1_7318+306	CDS	YafQ toxin protein		04666c1883f7bcf80114f7a5785fe950
fig|1596.469.peg.12	LG_612_Assembly_contig_1_8601-816	CDS	Fic domain protein, MA2133 type		dbbef206a02e2c6f12b1488aa9877dd2
fig|1596.469.peg.13	LG_612_Assembly_contig_1_9534-789	CDS	hypothetical protein		5a611aaaf12945e3a00a719b99ee2830
fig|1596.469.peg.14	LG_612_Assembly_contig_1_9872-270	CDS	hypothetical protein		7e761ba78c027c87a38e5b9da02f66bb
fig|1596.469.peg.15	LG_612_Assembly_contig_1_10626-720	CDS	FIG00743983: hypothetical protein		8e61fe31724a1ddda2e171284291c64d
fig|1596.469.peg.16	LG_612_Assembly_contig_1_10992-360	CDS	hypothetical protein		e6aafed731a699ba2c7724782303d472
fig|1596.469.peg.17	LG_612_Assembly_contig_1_11287-303	CDS	FIG00742761: hypothetical protein		a658389719499027f0d21bc1be5e5a73
fig|1596.469.peg.18	LG_612_Assembly_contig_1_12108-810	CDS	FIG00746012: hypothetical protein		1df0e4785de01464fe9af29aa223eac1
fig|1596.469.peg.19	LG_612_Assembly_contig_1_12227-117	CDS	FIG00752733: hypothetical protein		4083554f92594ec02233f640ecc1e7ec
fig|1596.469.peg.20	LG_612_Assembly_contig_1_12558-327	CDS	FIG00742875: hypothetical protein		44980a90093e76b05afd5eb79ec5417c
fig|1596.469.peg.21	LG_612_Assembly_contig_1_12893-336	CDS	FIG00748193: hypothetical protein		35cc7bf9227343886e5f7c7b23e43281
fig|1596.469.peg.22	LG_612_Assembly_contig_1_13032+1578	CDS	Efflux ABC transporter, permease/ATP-binding protein		e522a9ffa32e1db455f6732569b5d49d
fig|1596.469.peg.23	LG_612_Assembly_contig_1_15138-483	CDS	contains nitroreductase domain		69684dae6a6f4e649aafe0f084feda5c
fig|1596.469.peg.24	LG_612_Assembly_contig_1_16827-1608	CDS	Efflux ABC transporter, permease/ATP-binding protein		c33037c4028af7eac002b087fc710246
fig|1596.469.peg.25	LG_612_Assembly_contig_1_17737-819	CDS	hypothetical protein		631034aa620c247d452e52fa7013f3ef
fig|1596.469.peg.26	LG_612_Assembly_contig_1_17892+876	CDS	Protein QmcA (possibly involved in integral membrane quality control)		94bd6c2e1f342de925199f0ba118e560
fig|1596.469.peg.27	LG_612_Assembly_contig_1_18848+810	CDS	Integral membrane protein		7534b72a77a6d035b0476d0a88eca9fe
fig|1596.469.peg.28	LG_612_Assembly_contig_1_20045-327	CDS	Transcriptional regulator, xre family		8022ed9e46c38399af7b137f53f777ef
fig|1596.469.peg.29	LG_612_Assembly_contig_1_20293-210	CDS	FIG00743562: hypothetical protein		ac3fea574ca2ec68eaa480c03127676d
fig|1596.469.peg.30	LG_612_Assembly_contig_1_20378+546	CDS	Acetyltransferase, GNAT family		a9e852b9558c7f6900e628f40f474ebe
fig|1596.469.peg.31	LG_612_Assembly_contig_1_20907+717	CDS	FIG00744901: hypothetical protein		5890a1f8ff874174c52c50313e01e2e1
fig|1596.469.peg.32	LG_612_Assembly_contig_1_23930-2271	CDS	5'-nucleotidase (EC 3.1.3.5)		12de198f3c95efef59f0b5a3085cb450
fig|1596.469.peg.33	LG_612_Assembly_contig_1_24478+261	CDS	hypothetical protein		26e9472649b7fd77f1c91d3f9e7f8344
fig|1596.469.peg.34	LG_612_Assembly_contig_1_25088-291	CDS	FIG00746380: hypothetical protein		38cd24e5ab28bef2d99cdefbe58a9720
fig|1596.469.peg.35	LG_612_Assembly_contig_1_25342-201	CDS	hypothetical protein		60b4c0188e59eceefbdc2534d064a6c0
fig|1596.469.peg.36	LG_612_Assembly_contig_1_26149-645	CDS	NADH dehydrogenase (EC 1.6.99.3)		6904256581ce9d13f7eccb569ca687ff
fig|1596.469.peg.37	LG_612_Assembly_contig_1_28064-1797	CDS	redox proteins related to the succinate dehydrogenases and fumarate reductases		3fc8d3e1162f088ca801a27ebffe3fc8
fig|1596.469.peg.38	LG_612_Assembly_contig_1_28181+906	CDS	GltC, transcription activator of glutamate synthase operon		2f27fb789eb9837445edfbff145689c0
fig|1596.469.peg.39	LG_612_Assembly_contig_1_30008-864	CDS	Homoserine kinase (EC 2.7.1.39)		8eda2513f7e4daa8d9f4e958b8bcf593
fig|1596.469.peg.40	LG_612_Assembly_contig_1_31244-1227	CDS	Homoserine dehydrogenase (EC 1.1.1.3)		1155a3e3432f77a264bddb91834400b3
fig|1596.469.peg.41	LG_612_Assembly_contig_1_31345+1488	CDS	Threonine synthase (EC 4.2.3.1)		d2d340fe322566499b8805b3f404165f
fig|1596.469.peg.42	LG_612_Assembly_contig_1_33921-1059	CDS	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)		ecc99a1da2598f7bcbb881aa5fa791a3
fig|1596.469.peg.43	LG_612_Assembly_contig_1_34010+1356	CDS	Aspartokinase (EC 2.7.2.4)		2b48a70a397db749ed2115ee3b78b630
fig|1596.469.peg.44	LG_612_Assembly_contig_1_37364-1944	CDS	endopeptidase O		caac60ef16c73af044dd71f4fe88ea66
fig|1596.469.peg.45	LG_612_Assembly_contig_1_40225-2571	CDS	hypothetical protein		7b24dbfdf5d8c99b7bcf769c0e2fffad
fig|1596.469.peg.46	LG_612_Assembly_contig_1_40945-711	CDS	ABC transporter, ATP-binding protein		d319fd498ccb91bb0f353d799a6c2165
