feature_id	location	type	function	aliases	protein_md5
fig|562.101033.peg.1	EC_479_Assembly_contig_1_24+528	CDS	Minor fimbrial subunit StfG		fb83230949350ad47c720f89bed28956
fig|562.101033.peg.2	EC_479_Assembly_contig_1_553+825	CDS	Uncharacterized protein YadU in stf fimbrial cluster		6eb62b4d0f25652a932a945e36286dda
fig|562.101033.peg.3	EC_479_Assembly_contig_1_1988-552	CDS	UPF0115 protein YfcN		173e7a05f33e34e22f1201d66fde48fd
fig|562.101033.peg.4	EC_479_Assembly_contig_1_2154+933	CDS	Ribosomal protein L3 N(5)-glutamine methyltransferase (EC 2.1.1.298)		da2166b448e87d08366b73e204ce8585
fig|562.101033.peg.5	EC_479_Assembly_contig_1_3121+1086	CDS	Chorismate synthase (EC 4.2.3.5)		701ee59d35210fded1e816b34df5851b
fig|562.101033.peg.6	EC_479_Assembly_contig_1_4210+825	CDS	Penicillin-insensitive murein endopeptidase		dffa7553c0b6c545d1c4558855acaa28
fig|562.101033.peg.7	EC_479_Assembly_contig_1_5034+810	CDS	Transmembrane protein YfcA		10c02a589a7eba998fe90721c892248e
fig|562.101033.peg.8	EC_479_Assembly_contig_1_5843+549	CDS	Translation elongation factor P Lys34 hydroxylase		a37e7b3b98be530c6e89eba1570a5bb8
fig|562.101033.peg.9	EC_479_Assembly_contig_1_6425+279	CDS	Uncharacterized protein YfcL		fe55c426377d9d25b7954aaf7fc8c402
fig|562.101033.peg.10	EC_479_Assembly_contig_1_8830-2007	CDS	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase		458282a281b9f5ba872a49ecbec6129b
fig|562.101033.peg.11	EC_479_Assembly_contig_1_8989+1221	CDS	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)		d6474761a2d8f2787d17c08775c8d77c
fig|562.101033.peg.12	EC_479_Assembly_contig_1_10474+1179	CDS	UPF0226 protein YfcJ		d14dd5da27325e851eef54be193fb886
fig|562.101033.peg.13	EC_479_Assembly_contig_1_12644-996	CDS	Flagellar regulator flk		5c50ada9f55248c77e70969235d76163
fig|562.101033.peg.14	EC_479_Assembly_contig_1_13795-894	CDS	FIG00639972: hypothetical protein		306d2a77d124d91ac3943d4980a14b7f
fig|562.101033.peg.15	EC_479_Assembly_contig_1_14132-333	CDS	FIG00644998: hypothetical protein		455f049e2edac122ed2e3db7f199a4f6
fig|562.101033.peg.16	EC_479_Assembly_contig_1_15473-828	CDS	hypothetical protein		53d4634799ad663d5be0e992a7c6df2b
fig|562.101033.peg.17	EC_479_Assembly_contig_1_16029-141	CDS	FIG00639945: hypothetical protein		aa42b8349016d26e0199ddb11ab356cc
fig|562.101033.peg.18	EC_479_Assembly_contig_1_16480-261	CDS	hypothetical protein		378d6c35edd5b1e5123da1173c2e6df0
fig|562.101033.peg.19	EC_479_Assembly_contig_1_17632-1110	CDS	Phage tail formation protein GpD		2e17f9db1772b35339551b6ca55ac5a6
fig|562.101033.peg.20	EC_479_Assembly_contig_1_17790+1185	CDS	Phage tail sheath monomer GpFI		d9986f13ba2745c6a1bb6831db908960
fig|562.101033.peg.21	EC_479_Assembly_contig_1_18974+513	CDS	Phage major tail tube protein GpFII		04dc2064dfe712439890cebab20b3b6a
fig|562.101033.peg.22	EC_479_Assembly_contig_1_19542+375	CDS	Phage tail protein GpE		336c0b11080152159ef6a7e7ecf165eb
fig|562.101033.peg.23	EC_479_Assembly_contig_1_19952+129	CDS	Phage P2 GpE family protein		b209c418c3dc80f93c7bdfc2552376f8
fig|562.101033.peg.24	EC_479_Assembly_contig_1_20067+2805	CDS	Phage tail length tape-measure protein GpT		05ec6d4d49bbdffc4979ea2cb37a5b9b
fig|562.101033.peg.25	EC_479_Assembly_contig_1_22884+459	CDS	Phage tail protein GpU		e8f39a40a9d699d321e5f782bfec3ec7
fig|562.101033.peg.26	EC_479_Assembly_contig_1_23563+189	CDS	hypothetical protein		86863aed36f9021a030f2671297be67e
fig|562.101033.peg.27	EC_479_Assembly_contig_1_24445-285	CDS	hypothetical protein		aa66fe849ac9a85df504d1cdeb3ec29e
fig|562.101033.peg.28	EC_479_Assembly_contig_1_27294-2847	CDS	Phage tail fiber protein GpH		73130c4e7af6e2d7a8ff2357d9a7f125
fig|562.101033.peg.29	EC_479_Assembly_contig_1_27836-540	CDS	Phage tail formation protein GpI		e2fe1751de7212558a9dfbfec4bde3be
fig|562.101033.peg.30	EC_479_Assembly_contig_1_28725-897	CDS	Phage baseplate assembly protein GpJ		4706f3bcc60b73ca902a7f00d46eada3
fig|562.101033.peg.31	EC_479_Assembly_contig_1_29077-366	CDS	Phage baseplate assembly protein GpW		768fbf5d85d809f9d24136cc5ae0254b
fig|562.101033.peg.32	EC_479_Assembly_contig_1_29655-582	CDS	Phage baseplate assembly protein V		b3010cd592e4cb7f8e0143ed92b91ea0
fig|562.101033.peg.33	EC_479_Assembly_contig_1_30287-636	CDS	Phage tail completion protein GpS		2578f94e991ba10c38ff4860369a2175
fig|562.101033.peg.34	EC_479_Assembly_contig_1_30747-468	CDS	Phage tail protein		e3a6e41a88ae017591bdcb8aef21cc0b
fig|562.101033.peg.35	EC_479_Assembly_contig_1_31292-408	CDS	FIG00639291: hypothetical protein		2424d1cdba5b1a71e87b7a0103836ec4
fig|562.101033.peg.36	EC_479_Assembly_contig_1_31681-393	CDS	Phage peptidoglycan hydrolase		33469e29bff987c263694f3bdf0fa67d
