feature_id	location	type	function	aliases	protein_md5
fig|573.45275.peg.1	KP_441_Genome_Assembly_contig_1_868-567	CDS	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82)		a9230c2fdc7fa2ada80fc8ecc913d717
fig|573.45275.peg.2	KP_441_Genome_Assembly_contig_1_1057+1032	CDS	Methionine ABC transporter ATP-binding protein		1de77b1fba300c2cc8e568354d3e3da6
fig|573.45275.peg.3	KP_441_Genome_Assembly_contig_1_2081+654	CDS	Methionine ABC transporter permease protein		cca517bc9b533bf5508232caecb062cb
fig|573.45275.peg.4	KP_441_Genome_Assembly_contig_1_2778+816	CDS	Methionine ABC transporter substrate-binding protein		62a6e233fb112bf262d995caf8d99147
fig|573.45275.peg.5	KP_441_Genome_Assembly_contig_1_3701+408	CDS	Protein RcsF		296b23b45ce5b1d4c16b8a7481e1de75
fig|573.45275.peg.6	KP_441_Genome_Assembly_contig_1_4105+708	CDS	tRNA (adenine(37)-N6)-methyltransferase		180fd4cd1dde3a6f71317066f61efb35
fig|573.45275.peg.7	KP_441_Genome_Assembly_contig_1_4925+1719	CDS	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type		5db8c3e8dd038e1cb926a570f4c9e92d
fig|573.45275.peg.8	KP_441_Genome_Assembly_contig_1_6703+843	CDS	Uncharacterized lipoprotein yaeF precursor		1171a7b24a9256649bf261e27606570f
fig|573.45275.peg.9	KP_441_Genome_Assembly_contig_1_8396-720	CDS	Copper homeostasis protein CutF precursor / Lipoprotein NlpE involeved in surface adhesion		450bf48ccb9e8f7faadef1904ba91963
fig|573.45275.peg.10	KP_441_Genome_Assembly_contig_1_8831-414	CDS	Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29)		9729903eafb70f40ccaa407c3f24d37d
fig|573.45275.peg.11	KP_441_Genome_Assembly_contig_1_9373-546	CDS	YaeQ protein		a2985afbc03ff3873e755bce798b2a1a
fig|573.45275.peg.12	KP_441_Genome_Assembly_contig_1_9570+201	CDS	UPF0253 protein YaeP		fc90005f5ac457f54fc1d31cd2237832
